Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,1345,1525,1721,1880,2091,2246,2515,2749,3032,3291,3527,3815,3947,4139,4101,4107,4166,4175,4324,4591,4543,4942,5350,5725,6266,6762,7204,7780,8255,8953,9454,10120,10356,10807,11511,12398,13180,13943,14686,15391,16275,6.4
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,4059,4657,5167,5665,6363,6938,7680,8584,9657,10638,11787,12963,14052,15047,16160,16950,17986,18875,19203,20612,22287,24426,26787,29191,31301,33437,36266,38503,40183,41916,43685,45091,46551,47401,49436,51981,53596,55133,56765,58261,61506,7
1,Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,6339,7304,8203,9168,10460,11392,12469,14077,15923,17862,20187,21918,24274,25597,27327,29109,30153,31728,33433,34902,38446,40764,44559,47203,49987,53921,56350,59514,61412,65099,65701,67114,70345,72032,76150,80211,84309,87704,90085,96035,101077,7.2
1,Personal Health Care (Millions of Dollars),State,2,Mideast,New York,19073,21438,23610,26005,28948,31607,34394,38508,42819,47449,52965,57552,62154,66366,70510,74120,77987,81226,85835,91206,95187,103229,111267,121139,128545,134574,142777,149845,154682,164267,170171,175650,178341,184693,193531,203409,215908,227651,238184,253846,273010,6.9
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,11676,13543,15398,17046,18771,20681,22437,24592,27001,29577,33135,36609,39766,41949,43644,46045,47213,49786,51689,55086,58551,63089,67414,72702,77584,82881,87284,92695,96191,99371,104980,109042,111672,114422,118955,124292,129562,134302,141838,144705,149450,6.6
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,40195,46140,50863,55380,60175,65319,70676,75925,83730,91268,100908,110495,119367,126964,133643,141503,149273,156271,162975,171953,184573,200377,216355,232196,248118,263311,280654,296905,305389,320343,330957,339611,353043,359994,376366,392124,407025,419257,430694,452098,472761,6.4
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,11672,13218,14446,15601,16870,18329,19230,20555,22777,24931,27635,30207,32843,34832,36775,38680,40603,42497,44670,46663,50082,53714,57978,61611,65047,69300,73969,79394,81605,84702,88635,90462,92989,95330,99495,102818,106786,109552,112480,116338,123448,6.1
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,4564,5247,5932,6444,7052,7701,8324,9153,10135,11310,12855,14280,15582,16759,17469,18367,18775,20276,21589,22988,24578,26684,28840,31383,33893,35681,38314,40538,41304,43768,44989,46831,50354,50819,53176,55719,58475,60194,62322,66926,71239,7.1
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,9461,10729,11591,12649,13729,14958,16411,17333,19220,20476,22471,24360,25759,27257,28945,31058,33021,34602,35381,36838,39292,41810,44631,47833,51491,54412,58487,61639,63650,66061,68425,70851,73100,74232,77048,81012,84426,86903,88904,92643,96154,6
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Ohio,10092,11859,13377,14666,15967,17311,18995,20492,22530,24380,26691,29179,31777,33747,35174,37083,39466,40594,42097,44403,47741,52830,57524,62031,66187,70176,73616,77003,78771,83974,85939,87087,91665,94091,98727,102986,106858,110777,113797,120476,124390,6.5
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,4405,5087,5518,6019,6556,7020,7716,8391,9069,10171,11256,12469,13406,14369,15280,16315,17409,18301,19239,21061,22880,25339,27383,29339,31500,33742,36268,38331,40060,41838,42969,44381,44935,45522,47920,49589,50480,51830,53192,55715,57529,6.6
1,Personal Health Care (Millions of Dollars),Region,4,Plains,,16803,19467,21676,23697,25434,27904,29829,32190,35412,39022,43285,46847,49951,53009,56972,60406,64164,67920,72948,77233,83478,90469,98290,105623,112055,118792,125566,134516,140789,146578,152066,157959,164108,167426,174201,182501,189768,195294,202827,211985,223815,6.7
1,Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,2692,3093,3402,3632,3821,4081,4308,4703,5124,5640,6261,6792,7199,7637,8117,8573,9138,9627,10472,11103,11764,12736,13528,14609,15407,16430,17512,18344,19007,19740,20409,21094,21832,22192,23244,24427,24659,24852,25624,26828,28688,6.1
1,Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,2276,2645,2892,3084,3291,3607,3816,4105,4520,5013,5658,6158,6632,6959,7432,7981,8457,9014,9599,10252,10971,11867,12753,13620,14569,15483,16366,17383,18185,18859,19277,20153,21271,20931,21411,22310,22972,23516,24410,25483,27626,6.4
1,Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,4437,5184,5672,6280,6852,7675,8111,8736,9746,10786,11914,12882,13325,14202,15354,16427,17371,18430,20134,21282,23238,25371,27705,29819,31669,33580,35783,38176,39522,41546,43275,44690,46214,48142,50525,52179,54809,56686,59434,61688,63772,6.9
1,Personal Health Care (Millions of Dollars),State,4,Plains,Missouri,4760,5469,6219,6846,7379,8144,8827,9562,10387,11417,12616,13611,14806,15773,16945,17700,18762,19883,21155,22227,24078,25842,28311,30458,32068,33577,34705,38209,40443,41643,42925,44692,46346,46771,48220,50903,53065,54762,56156,58937,61901,6.6
1,Personal Health Care (Millions of Dollars),State,4,Plains,Nebraska,1418,1650,1879,2042,2133,2280,2456,2561,2892,3155,3541,3848,4138,4392,4693,4958,5383,5643,5975,6410,7114,7873,8480,9162,9887,10598,11463,12059,12674,13109,13811,14227,14780,15075,15651,16523,17363,17942,18663,19556,20805,6.9
1,Personal Health Care (Millions of Dollars),State,4,Plains,North Dakota,642,759,868,979,1066,1145,1253,1398,1504,1638,1755,1882,2018,2108,2271,2451,2551,2649,2809,2892,3037,3321,3662,3802,4093,4347,4608,4921,5173,5496,5763,6080,6298,6675,7054,7533,7805,7985,8289,8717,9245,6.9
1,Personal Health Care (Millions of Dollars),State,4,Plains,South Dakota,578,667,745,836,892,971,1059,1126,1239,1373,1539,1673,1833,1937,2160,2315,2503,2673,2802,3068,3275,3459,3851,4152,4362,4778,5129,5424,5784,6184,6607,7023,7368,7640,8095,8626,9094,9552,10252,10775,11779,7.8
1,Personal Health Care (Millions of Dollars),Region,5,Southeast,,42912,50272,57133,64074,71074,78820,86807,95922,107991,120872,137200,152435,165737,178225,189446,202299,215922,230982,241610,256370,277976,301623,326992,353724,383367,409491,437349,463149,483131,506882,520714,535823,560243,571954,604848,640465,669761,698683,722993,759137,804786,7.6
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,3113,3608,4068,4506,4898,5400,5856,6427,7239,8009,9086,10264,11078,11826,12511,13335,14214,15231,15512,16106,17207,18318,19956,22255,23451,25031,26345,27404,28399,29683,30147,30701,32025,32874,34325,36120,37624,38844,39879,42046,44722,6.9
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,1712,1993,2256,2528,2696,2964,3252,3498,3984,4340,4851,5387,5753,6133,6476,6978,7371,7933,8318,8884,9492,10312,11290,12079,12900,14058,14860,15799,16562,17347,17926,18503,19218,19383,20715,21683,23055,24023,24477,25498,27142,7.2
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,9695,11528,13335,15444,17252,19854,21672,24238,27827,31304,35800,39240,42626,45631,48600,51363,54884,58498,61099,65098,71374,77285,83857,90593,98827,106363,114406,121278,126802,132322,136406,139896,146257,148003,157752,168318,175624,184359,193718,202933,214229,8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,4473,5182,5850,6571,7378,8338,9383,10575,11902,13396,15203,16848,18474,19942,21002,22491,23847,25261,26650,28022,30047,32230,35670,38090,41954,44323,48105,50821,51837,53878,54548,56470,59948,62909,67574,72885,76887,80186,83669,88997,95458,8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,2664,3108,3519,3867,4249,4594,5083,5583,6174,6823,7723,8664,9476,10056,10557,11435,12306,13341,14072,15192,16703,17989,19596,20776,22117,23474,24967,26050,26848,28322,29321,30471,31171,32363,34357,35843,37246,38762,40480,42454,44798,7.3
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,3522,4227,4897,5458,6032,6552,6997,7513,8182,8921,10114,11271,12290,13165,13980,14649,15207,15989,16590,17529,18147,19229,20596,22271,23830,24651,25438,27494,29310,31278,32828,32693,33487,34519,36558,38334,40063,42007,42930,44938,48881,6.8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Mississippi,1725,1981,2243,2502,2733,2905,3165,3391,3834,4240,4716,5186,5613,6105,6608,7250,7771,8388,8753,9145,10019,11027,12000,12833,13925,14904,16033,17240,17967,18449,18459,18990,20393,20320,21098,21803,22854,23345,23287,24185,25905,7
1,Personal Health Care (Millions of Dollars),State,5,Southeast,North Carolina,4159,4818,5402,5935,6691,7133,8025,9256,10379,11939,13669,15371,16940,18565,20110,21795,23853,25662,26887,29250,32127,35971,38350,41513,45129,48546,52359,54986,57712,61331,62818,65156,68386,68367,71825,76712,80854,83962,86685,91261,95329,8.1
1,Personal Health Care (Millions of Dollars),State,5,Southeast,South Carolina,2078,2415,2660,3000,3410,3757,4202,4604,5234,5874,6814,7631,8377,9060,9735,10355,10937,12107,12824,13814,14880,16529,18001,19355,20794,22232,23741,25211,26734,27789,28784,29554,30356,31243,32865,34214,35502,36782,37696,39901,42476,7.8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Tennessee,3970,4615,5234,5850,6495,7025,7884,8522,9548,10670,12063,13587,14828,16055,16900,18340,19573,20861,21706,22728,24490,27023,28497,31230,34196,36334,38214,40474,41420,43099,44241,45321,47578,48719,51194,54294,56709,60434,61468,63346,67558,7.3
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Virginia,4252,4988,5629,6188,6858,7715,8477,9319,10414,11749,13164,14577,15407,16468,17403,18350,19706,21048,22240,23344,25878,27419,30246,33167,36040,38731,41467,44296,47058,50082,51634,53979,56506,58088,60617,63356,65589,67362,69584,73326,76517,7.5
1,Personal Health Care (Millions of Dollars),State,5,Southeast,West Virginia,1549,1810,2040,2225,2380,2583,2812,2996,3275,3606,3997,4411,4877,5219,5563,5958,6253,6663,6959,7258,7612,8293,8933,9561,10205,10845,11416,12094,12482,13301,13603,14088,14919,15168,15968,16902,17756,18616,19121,20251,21772,6.8
1,Personal Health Care (Millions of Dollars),Region,6,Southwest,,18514,22099,25346,28019,30670,34420,37010,40108,44482,49120,55428,61366,66904,71755,75829,81441,87453,93717,99141,106156,113379,124031,136649,146602,157146,174098,187143,199939,212916,224679,233567,242243,253964,259249,275473,294710,307285,320175,331810,349194,372938,7.8
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,2514,2982,3365,3839,4275,5000,5470,6138,6845,7475,8583,9485,10006,10977,11736,12413,13310,13924,14997,16139,17354,18715,21055,23118,25388,28938,31588,34311,36441,38083,39390,40123,41507,42517,44937,47828,50760,53884,56724,60103,65941,8.5
1,Personal Health Care (Millions of Dollars),State,6,Southwest,New Mexico,927,1105,1256,1421,1601,1824,1985,2185,2438,2709,2972,3286,3606,3858,4197,4512,4880,5170,5353,5640,5950,6434,7043,7556,8385,9322,9933,10701,11361,12011,12474,12699,13002,13030,13604,14363,14958,15405,15736,16348,17320,7.6
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Oklahoma,2609,3136,3579,3719,4054,4423,4705,4979,5426,5894,6467,7073,7685,8043,8715,9370,10095,10527,11016,11673,12409,13592,14560,15992,16768,18258,19591,21031,22384,23147,23934,25109,26260,26886,28328,29399,30322,31212,32240,33388,35654,6.8
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Texas,12465,14876,17146,19039,20739,23173,24850,26807,29772,33042,37405,41522,45607,48876,51181,55147,59168,64096,67775,72705,77667,85290,93991,99935,106605,117580,126031,133896,142731,151437,157770,164313,173194,176816,188604,203121,211244,219674,227109,239355,254024,7.8
1,Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5383,6395,7287,8079,8802,9769,10420,11347,12606,13707,15338,16977,18430,19743,20905,22567,24168,25971,27942,29633,32843,35840,39357,42586,45671,48616,52826,56794,59584,62427,64574,67061,70094,72527,76921,82129,86462,91233,96772,101537,107121,7.8
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,2739,3282,3752,4154,4550,5028,5351,5822,6439,6996,7838,8676,9458,10033,10629,11413,12134,12834,14053,15050,16752,18156,19691,21284,22644,23402,25559,27349,28543,29925,30716,31831,33094,34373,36589,39439,41479,43746,46506,48926,50918,7.6
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,625,726,816,909,988,1112,1184,1268,1431,1530,1754,1967,2159,2340,2490,2715,2959,3192,3431,3675,4013,4396,4938,5357,5783,6424,7010,7548,7884,8319,8778,9087,9498,9745,10293,10780,11210,11887,12545,13379,14519,8.2
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Montana,609,707,812,891,958,1051,1152,1224,1353,1485,1652,1831,2000,2111,2202,2399,2487,2723,2888,3110,3391,3720,3996,4325,4603,5012,5379,5769,6071,6403,6711,6991,7326,7640,7960,8457,8889,9345,9710,10206,10768,7.4
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Utah,1087,1295,1463,1628,1773,2014,2135,2408,2700,2974,3299,3658,3918,4276,4507,4861,5321,5886,6130,6285,7009,7759,8712,9464,10344,11272,12139,13163,13984,14566,14988,15671,16514,17055,18185,19400,20757,21944,23595,24480,25972,8.3
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Wyoming,323,385,443,496,532,564,598,625,682,721,795,846,896,983,1077,1179,1267,1336,1441,1513,1678,1809,2021,2156,2298,2506,2739,2966,3102,3214,3380,3481,3662,3714,3894,4053,4127,4311,4415,4546,4943,7.1
1,Personal Health Care (Millions of Dollars),Region,8,Far West,,34666,40494,45814,49983,54164,60721,65940,72259,80347,88057,98211,108533,117728,123581,127940,133144,138668,143930,154816,162499,172246,188431,206031,225781,242078,261266,278631,300168,317056,330407,346450,362317,381046,394413,413410,445007,466977,485136,511467,541459,574093,7.3
1,Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,463,528,596,693,771,893,953,1002,1085,1174,1302,1446,1549,1645,1799,1851,2045,2200,2334,2507,2819,3221,3575,3869,4155,4619,4886,5238,5538,5761,6125,6460,6923,7069,7412,8117,8382,8724,8905,9232,9447,7.8
1,Personal Health Care (Millions of Dollars),State,8,Far West,California,26364,30765,34858,37931,41104,46163,50075,55095,61054,66692,73945,81596,88178,92281,94603,97338,100868,104042,111349,115868,121967,132817,144767,159278,170522,183680,195265,210250,221665,230060,243125,255584,269544,280043,291995,315465,331182,343920,363605,385480,410903,7.1
1,Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,903,1075,1240,1345,1447,1622,1748,1951,2110,2351,2713,3004,3204,3493,3764,4028,4314,4319,4474,4590,4759,5075,5522,6010,6445,7020,7335,8080,8540,8822,8844,8984,9513,9823,10334,11141,11586,12213,12810,13634,14635,7.2
1,Personal Health Care (Millions of Dollars),State,8,Far West,Nevada,830,1011,1143,1278,1379,1533,1705,1867,2138,2441,2809,3158,3527,3760,4107,4434,4794,5250,5724,6151,6940,7830,9016,10008,11121,12104,13146,14271,15007,15323,15580,16081,16366,17131,18658,19650,21099,22236,23257,24340,25359,8.9
1,Personal Health Care (Millions of Dollars),State,8,Far West,Oregon,2366,2745,3044,3286,3532,3844,4184,4468,5100,5629,6265,6683,7404,7908,8353,8969,9472,10127,11246,11931,12748,14344,15427,16598,17969,19560,21275,22486,23646,24958,26113,27257,28068,29105,31416,34085,35817,36811,38448,40730,42864,7.5
1,Personal Health Care (Millions of Dollars),State,8,Far West,Washington,3739,4370,4933,5449,5931,6665,7276,7877,8860,9771,11176,12647,13866,14495,15314,16524,17176,17992,19690,21452,23014,25144,27724,30017,31866,34283,36724,39844,42661,45483,46663,47952,50632,51243,53595,56550,58910,61232,64442,68043,70885,7.6
2,Hospital Care (Millions of Dollars),United States,0,United States,,100517,117480,133647,144745,154366,164575,175766,189651,206452,225977,250430,275756,298475,315735,328376,339313,350813,363403,374911,393630,415532,449360,486482,525892,565327,608600,651209,691887,721630,771040,808795,833246,877968,906804,940526,988971,1035398,1077580,1122633,1193716,1270149,6.5
2,Hospital Care (Millions of Dollars),Region,1,New England,,6385,7349,8265,8920,9591,10137,10689,11600,12851,14123,15219,16460,17508,18445,18956,19294,19875,20747,21564,22386,23626,25733,28110,31210,33574,35457,39033,41758,43692,46748,48812,49979,51403,52585,53335,55651,58145,60637,63445,67134,71180,6.2
2,Hospital Care (Millions of Dollars),State,1,New England,Connecticut,1374,1587,1826,1995,2150,2282,2402,2633,2956,3317,3585,3886,4101,4229,4345,4298,4394,4532,4730,4892,5005,5418,5887,6334,6884,6975,7654,7997,8499,9319,9830,10336,10712,11192,11268,11621,12042,12351,13042,13777,15071,6.2
2,Hospital Care (Millions of Dollars),State,1,New England,Maine,456,526,594,653,689,729,768,828,922,1006,1101,1190,1260,1339,1416,1530,1646,1731,1803,1917,2055,2225,2421,2677,2951,3259,3505,3705,3897,3988,4235,4452,4569,4505,4584,4840,5084,5337,5653,5884,6105,6.7
2,Hospital Care (Millions of Dollars),State,1,New England,Massachusetts,3600,4129,4597,4897,5269,5516,5773,6230,6860,7451,7991,8666,9205,9760,10018,10049,10363,10804,11296,11575,12240,13447,14630,16395,17435,18379,20364,22024,22829,24267,25124,25229,25874,26341,26654,27953,29417,30898,32247,34460,36414,6
2,Hospital Care (Millions of Dollars),State,1,New England,New Hampshire,307,374,429,473,517,574,652,744,852,963,1033,1082,1213,1310,1273,1346,1395,1463,1496,1622,1744,1857,2070,2310,2525,2800,3167,3453,3619,4031,4285,4422,4499,4620,4738,4943,5146,5478,5813,6015,6211,7.8
2,Hospital Care (Millions of Dollars),State,1,New England,Rhode Island,476,529,580,644,697,750,788,836,902,988,1070,1152,1210,1257,1306,1413,1434,1555,1556,1617,1757,1908,2124,2303,2501,2617,2771,2928,3126,3301,3414,3546,3642,3698,3823,3936,4017,3994,3994,4180,4475,5.8
2,Hospital Care (Millions of Dollars),State,1,New England,Vermont,172,204,239,259,269,286,306,327,357,397,438,485,520,550,598,660,643,662,683,763,826,879,978,1191,1279,1426,1573,1651,1722,1842,1925,1995,2107,2229,2268,2358,2438,2580,2698,2817,2904,7.3
2,Hospital Care (Millions of Dollars),Region,2,Mideast,,21357,24420,27451,29613,31775,33975,36546,39593,43068,47257,52153,56975,61536,65287,67997,69398,70262,71730,72792,75349,79366,84373,90673,98101,105050,111754,119403,125831,129386,137997,144582,149302,155855,161681,166819,172574,183056,190742,199372,211375,230315,6.1
2,Hospital Care (Millions of Dollars),State,2,Mideast,Delaware,256,289,336,368,391,428,462,511,566,621,697,766,840,928,990,1040,1004,1106,1129,1186,1198,1295,1440,1674,1829,2033,2172,2357,2459,2556,2873,3029,3177,3446,3653,3843,3878,4167,4446,4683,5018,7.7
2,Hospital Care (Millions of Dollars),State,2,Mideast,District of Columbia,901,1019,1150,1263,1361,1444,1580,1731,1837,1958,2083,2240,2375,2500,2442,2389,2505,2481,2565,2747,2604,2808,3007,3249,3620,3978,4229,4427,4702,5032,5085,5376,5514,5674,5862,6195,6388,6762,7012,7352,7824,5.6
2,Hospital Care (Millions of Dollars),State,2,Mideast,Maryland,2012,2274,2524,2684,2803,2940,3178,3463,3784,4183,4558,4974,5371,5742,5990,6299,6598,6821,6914,7149,7616,8343,9034,9923,10796,11703,12492,13419,14142,14751,15520,16248,16618,16874,17441,17934,18059,18462,18750,18978,20614,6
2,Hospital Care (Millions of Dollars),State,2,Mideast,New Jersey,2731,3194,3696,4005,4398,4696,5011,5438,6106,6916,7746,8478,9281,10074,10636,10537,10579,10794,11123,11051,12307,12614,13998,15014,15641,16438,17048,17719,17661,19833,20081,20104,21916,22440,23083,24314,25895,27082,27321,29793,32855,6.4
2,Hospital Care (Millions of Dollars),State,2,Mideast,New York,9494,10637,11621,12468,13444,14433,15604,17004,18564,20289,22385,24422,25940,27612,29401,29830,30792,31189,31640,33163,34539,36748,39320,42711,45676,47662,51257,53687,55011,59592,62294,64054,67337,70606,73373,75264,82093,86334,90201,98320,109318,6.3
2,Hospital Care (Millions of Dollars),State,2,Mideast,Pennsylvania,5964,7006,8125,8824,9378,10035,10712,11445,12213,13291,14684,16095,17729,18432,18538,19305,18784,19339,19421,20053,21101,22565,23873,25530,27488,29940,32204,34222,35410,36233,38729,40491,41292,42641,43407,45024,46742,47935,51643,52248,54686,5.7
2,Hospital Care (Millions of Dollars),Region,3,Great Lakes,,19441,22459,25262,27109,28528,29869,31505,33391,35911,38622,42443,46536,50184,53067,55487,57667,59751,62093,63119,66086,69216,74214,79828,86241,93529,100772,108379,115589,117457,125692,130560,132495,139769,141950,147196,150754,156809,161915,165939,179364,186976,5.8
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Illinois,6168,7040,7766,8157,8542,8920,9228,9665,10361,11178,12272,13421,14554,15254,15904,16394,16785,17372,17681,18390,19328,20481,21789,23179,24537,26309,28064,30637,30946,31977,33303,33878,34830,36189,37851,38236,40549,41980,42988,44929,48181,5.3
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Indiana,2102,2463,2835,3093,3217,3373,3572,3829,4204,4620,5149,5851,6388,6876,7135,7400,7147,8052,8402,8892,9355,9820,10617,11619,12887,13492,14662,15852,15789,17476,17912,18603,20669,20047,20705,20934,22049,22374,23257,26124,28156,6.7
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Michigan,4455,5031,5619,6096,6482,6840,7287,7758,8307,8578,9410,10203,10850,11500,12225,13023,13633,13950,14165,14557,15034,15658,16657,17988,19629,21241,22999,24477,24866,25757,27175,27791,28779,28911,29626,30956,32070,33429,34094,36478,38033,5.5
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Ohio,4780,5679,6559,7094,7499,7978,8470,8956,9611,10398,11299,12250,13253,14000,14502,14996,15794,16020,15852,16706,17472,19466,20965,22806,24990,27515,29443,30687,31263,35010,35742,35326,38263,39502,40582,41369,42502,43754,45053,49692,49921,6
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,1937,2245,2483,2669,2789,2758,2948,3184,3428,3849,4313,4811,5140,5437,5721,5854,6392,6698,7019,7541,8027,8789,9801,10648,11487,12215,13211,13936,14592,15473,16428,16897,17229,17300,18432,19258,19639,20378,20547,22141,22685,6.3
2,Hospital Care (Millions of Dollars),Region,4,Plains,,7734,8961,10119,10891,11353,12132,12749,13643,14655,16018,17763,19394,20757,21861,23380,24419,25434,26880,27581,29305,30946,33616,36528,39515,42384,46006,48689,52650,55773,58390,60647,62821,65431,67137,69566,72664,76512,79300,83014,87515,92057,6.4
2,Hospital Care (Millions of Dollars),State,4,Plains,Iowa,1169,1361,1537,1616,1650,1716,1818,2001,2175,2353,2602,2824,2954,3122,3349,3515,3712,3860,4095,4323,4502,4831,5152,5453,5794,6254,6668,6999,7248,7566,7906,8113,8418,8631,8953,9417,9713,9987,10186,10881,11688,5.9
2,Hospital Care (Millions of Dollars),State,4,Plains,Kansas,1075,1262,1408,1477,1505,1582,1613,1709,1811,2018,2251,2439,2696,2780,2982,3141,3221,3374,3427,3725,3720,3975,4220,4500,4903,5285,5767,6158,6460,6753,6968,7197,7725,7697,8016,8482,9062,9618,10208,10823,11579,6.1
2,Hospital Care (Millions of Dollars),State,4,Plains,Minnesota,1727,1961,2163,2368,2506,2693,2808,3018,3329,3629,4040,4414,4605,4686,5089,5322,5391,6141,6149,6798,7366,8010,8990,9658,10486,11472,12346,13129,13810,14907,15660,16683,17306,18400,19263,19843,21141,21683,23006,23908,24403,6.8
